Year,Agricultural Organics,Aluminum Cans,Anti-freeze,Appliances/White Goods,"Ash, Sand & Dust used in Asphalt Production",Asphalt/Concrete,Batteries - Auto Lead Acid,Cardboard,Carpet & Pad,Cartons,Construction & Demolition Debris,Container Glass,Container Glass (used as aggregate),Electronics,Fats and Oils,Ferrous Metals,Fluorescent light bulbs,Food (recovered),Food Processing Waste (pre-consumer),Food Scraps (post-consumer),Gypsum,HDPE Plastics,High Grade Paper,Household Batteries,Industrial Batteries,Industrial Organics,Industrial Paper,Landclearing Debris,Landclearing Debris for ER,LDPE Plastics,Mattresses,Miscellaneous,Mixed Paper,Mixed Plastics,Newspaper,Nonferrous Metals,Oil Filters,Other Fuels (Reuse & ER),Other Organics,Other Recyclable Plastics,Paint,PET Plastic Bottles,Photographic Films,Post-Industrial and Flat Glass,Post-Industrial Plastics,Railroad Ties,Refillable Glass Beer Bottles,Reuse - Clothing & Household items,Reuse - Construct/demol. Items,Reuse - Miscellaneous,Roofing Material,Rubber Materials,Steel/Tin Cans,"Textiles (Rags, clothing, etc.)",Tires (Baled),Tires (ER),Tires (Recycled),Tires (Retread/Reuse),Used Oil,Used Oil for energy recovery,Wood Waste,Wood Waste for energy recovery,Yard Debris,Yard Debris and Food (mixed),Yard Waste for energy recovery,Total Recovered Materials,MSW & Commercial Wastes Disposed,Other Waste Types Disposed,Tires Disposed in Out-of-State Landfills,Waste Types Excluded from Recovery Rate,All Other Waste Types,Total Solid Waste Disposed (recoverable portion),All Solid Waste Disposal,Solid Waste Generated (recoverable portion),Overall Waste Generated (recoverable and non-recoverable),Material Recovery Rate,Population,Solid Waste Generated (pounds/person/day),Material Reovered (pounds/person/day)
2000,0,17944,2475,35427,10000,893218,10757,495470,97,98,376684,84062,,255,0,357220,160,,0,73895,36692,5491,59976,39,738,0,,0,0,4032,0,374,273494,,219716,51273,835,0,89678,6512,40,5100,6,0,0,121,0,524,1257,198,14412,55,22632,15961,0,0,12218,0,8353,33021,215211,0,450761,,0,3886482,4610914,1966188,,549239,2515427,6577102.2999999998,7126341,10463584,11012823,37.14,5894100,10.238074536110291,3.613068940777322
2001,0,12540,4157,39180,12333,1116871,16297,491230,820,69,131922,81632,,317,0,254104,346,,0,193024,29883,4841,58538,38,0,0,,151464,0,6603,16,0,231302,,176392,41615,5942,0,91495,4067,87,4661,87,0,0,12460,0,601,1975,334,11727,374,11483,10127,0,0,10306,1009,38288,19786,538242,0,448222,,0,4266807,4611406,1646395,,1192376,2838771,6257801,7450177,10524608,11716984,40.54,5974900,10.745393948245136,3.912997143071345
2002,0,12718,4506,43833,290,1451959,12158,417534,148,26,131701,64937,,1414,0,432778,417,,0,70904,51089,6029,62312,333,5,0,,286201,0,9775,77,0,206051,,187585,61240,5023,121349,67338,949,434,5886,517,2364,8118,0,0,79,76629,310,13825,166,9417,9440,0,2818,27102,1170,43367,30838,394261,196100,380882,,0,4914401,4703879,1380396,,1343941,2724337,6084275,7428216,10998676,12342617,44.68,6041700,11.193997743082832,4.457060552448156
2003,0,17608,4722,53353,10576,1600288,18780,430750,258,1789,143844,74126,,3587,0,709881,772,,3774,100755,76946,8485,59502,143,30,13767,,160158,0,17925,0,40,219111,,215882,114604,1750,2,36049,3482,389,6060,530,2976,0,0,0,918,11927,7488,6493,5,9492,15497,0,9664,27753,12976,56344,15580,208920,189584,546487,,0,5231822,4805202,1316850,,1350013,2666863,6122052,7472065,11353874,12703887,46.08,6098300,11.414712548455563,4.700903467595616
2004,0,16010,8050,56920,40409,2002171,25518,535662,304,8,166325,81405,,6568,0,866641,732,,3185,126257,35648,7991,70210,149,29,213,,268486,0,10604,0,5,230934,,261306,99317,3719,115,44419,7783,688,6748,522,2253,0,0,0,738,5853,521,8186,12,10082,28927,0,15400,37568,251,104211,825,257495,129927,646674,,0,6233974,4917870,1596487,11730,2557428,4153915,6526087,9083515,12760061,15317489,48.86,6167800,13.608003919605444,5.538240806095467
2005,0,15441,8767,47302,14588,1783418,28903,565698,186,4529,521087,82773,,8534,0,974535,729,,38823,125390,56618,9319,58661,294,0,0,,475015,0,16209,0,139,322732,,259157,122490,2721,16,81904,7247,912,8534,487,4870,696,0,0,2891,1929,435,2353,0,12133,28750,0,5167,53777,4088,111692,306,351855,163408,643376,,30859,7061745,5060502,2619340,16582,2736151,5355491,7696424,10432575,14758169,17494320,47.85,6256400,15.321796866312576,6.184786042108889
2006,0,14951,7507,49796,4008,2295278,25414,570802,897,5755,300820,90992,,11386,97786,1048885,1063,,25369,73958,62482,8000,71774,1350,0,0,,258563,208010,14928,0,2,316874,,294887,135976,2189,1,121454,7776,1051,7558,458,5404,0,0,0,804,1120,627,9120,39,13936,28724,0,9236,23528,13266,87304,1283,289612,372678,665902,,21607,7682189,5258076,2474997,27641,1689840,4164837,7760713.9401999712,9450554,15442903,17132743,49.75,6375600,14.724581863129051,6.602388311686805
2007,0,14005,7055,44667,2521,2089972,25734,555757,1193,5787,302089,96934,,12325,116964,1009826,979,,0,50304,52767,11348,82806,1755,0,0,,168007,136205,13695,0,0,361043,,289250,115718,2635,0,149492,12350,344,14024,429,1706,0,0,0,4346,1374,286,10188,50,22315,65286,9660,16735,27869,4764,86174,129,228146,353683,684181,,25069,7289943,5309296,2747184,25811,1810580,4557764,8082291,9892871,15372234,17182814,47.42,6488000,14.511776225874899,6.15673425165062
2008,31800,12842,6586,43401,0,1510051,25219,569688,3297,5475,339066,94077,,17265,124289,1013552,1600,,3494,48664,86603,7742,57929,2270,0,45586,,169428,141406,14040,0,0,367834,,282981,94340,2639,0,86191,11245,928,9827,442,0,0,0,0,2678,0,105,10205,6,10526,19946,5912,8440,40124,3829,78443,33,381866,331528,641130,,26029,6792597,4978496,2520612,17801,1634267.82,4154879.4000000004,7516908.7400000002,9151177,14309506,15943774,47.47,6587600,13.261756060771157,5.649965240824674
2009,45431,21098,5194,39777,344,2186429,21493,491266,3317,5526,302836,100823,,22190,92345,998721,1229,,14027,77699,38662,13876,47266,535,99,85692,,162939,78018,15407,0,13,274982,,267524,142931,2535,0,47430,12524,552,16767,354,1750,223,0,0,22001,151,4148,10872,8,17293,16445,10725,35439,9672,6164,110038,177,200980,613888,689849,0,49994,7437668,4613329,1488388,24943,1550645.32,3039032.92,6126659.6200000001,7677305,13564327,15114972,54.83,6668200,12.420408374567002,6.11174571766302
